Titel,Datum,Fehlercode,Fehlertext
LfL InfoTalk: Tier- und naturgestützte Angebote auf dem Bauernhof – das Potential erkennen & nutzen,2025-04-28T19:00 - 2025-04-28T21:00+02:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""eb8ed4e6-80f5-4a6f-903f-45fc430bcaba""}"
Happy Impact Hour,2025-05-06T18:00 - 2025-05-06T19:00+02:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""139d22ff-73b0-43ac-b493-7377e315bbbc""}"
Impact Co-Founder-Matching,2025-05-12T18:00 - 2025-05-12T20:00+02:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""35395ba9-4b8b-4928-9573-948c7ce0375c""}"
Kein Titel gefunden,2025-04-25T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""daf2d41c-ece4-448b-8c3e-a47fa5318ced""}"
Bayerische Gründungstage,2025-06-03T00:00 - 2025-06-05T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""edcd607b-33a8-4e5f-81ee-9a18bae543bc""}"
Happy Impact Hour,2025-06-10T18:00 - 2025-06-10T19:00+02:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""772959df-8340-4f48-852f-849fcd3db910""}"
Female Founders Summit 2025,2025-07-11T13:00 - 2025-07-11T23:00+02:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""1aca72d6-62cd-4db5-91b1-a26bd4556d8e""}"
Munich Startup Festival,2025-07-16T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""a8a7d2de-5841-4acd-a353-e90e7fce7e07""}"
Munich Hacking Legal,2025-04-26T10:00 - 2025-04-27T16:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""66c221ed-a47f-43ac-bf7f-dcc502af4df8""}"
BarCamp: Edge AI and Smart Sensing,2025-04-29T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""622c7d66-ea04-4789-8a06-ec784f928fdf""}"
Founders‘ regulars‘ table: Food & Agtech,2025-04-29T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""3cc4bed2-f4d6-4415-b91a-f3c3bb4e9750""}"
gate-Academy: Pitch Perfect – Die Geheimnisse erfolgreicher Investorengespräche,2025-05-08T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""dce4eb33-6650-4b37-a5c0-61aea372b1b6""}"
Online: IP im Fokus – Wirksamer Marken- und Designschutz,2025-05-08T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""3dcd0ca1-05d6-401b-95a0-be4cd3bb1545""}"
WERKSACADEMY – Workshops & Training: Sales,2025-05-08T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""9912c312-02a4-4cdc-bbbd-069789f67f12""}"
Unternehmer:innen live erleben: Bonita Grupp von TRIGEMA,2025-05-08T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""d12ecccc-9a8f-4a4b-9d96-ff565436ff20""}"
AI Music Summit 2025,2025-05-12T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""11d504f3-f0ae-4c2a-8092-75dc1f835ffe""}"
Munich Impact Co-Founder Matching,2025-05-12T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""d4b84115-5435-47d4-a1d7-ada49e9aabf0""}"
Unternehmen und Stadtverwaltung für mehr grüne Freiräume in der Stadt,2025-05-13T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""2b47c3c4-4e76-454e-973c-c6866bd7d263""}"
3. City Demo Day – Künstliche Intelligenz,2025-05-15T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""6e6db3f6-d285-4402-9f94-295c5a79b01f""}"
Women Start-up Morning Jour Fixe,2025-05-15T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""417bbdad-39f2-46c3-b5c1-3c14adfee96b""}"
Munich Co-Founder Matching,2025-05-19T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""289b14c7-c3d8-45b2-897d-a28a03628fab""}"
Female Future Festival Munich,2025-05-22T00:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""3ae65249-b8fe-44cf-b8af-cedbe565426e""}"
Circular Republic Festival 2025,2025-05-22T09:00 - 2025-05-23T16:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""f8b177d5-3b71-4b24-a322-363fe120e888""}"
Biotech & IP Seminar for Founders and Startups,2025-05-22T09:00 - 2025-05-23T15:00,404,"{""object"":""error"",""status"":404,""code"":""object_not_found"",""message"":""Could not find database with ID: 1164d8c0-4eda-8042-bb78-d4cf02312b8d. Make sure the relevant pages and databases are shared with your integration."",""request_id"":""74662cf8-a89b-41eb-b1df-0d4cc40663ac""}"
